venue,num_papers
,311490
Lecture Notes in Computer Science,30408
"international conference on acoustics, speech, and signal processing",26085
international conference on robotics and automation,18562
international conference on image processing,17416
international conference on communications,16446
international symposium on circuits and systems,16177
global communications conference,15763
intelligent robots and systems,14067
international geoscience and remote sensing symposium,13914
Applied Mathematics and Computation,12956
vehicular technology conference,12143
conference on decision and control,12114
human factors in computing systems,11356
IEEE Transactions on Information Theory,9999
IEEE Transactions on Signal Processing,9819
Discrete Mathematics,9764
computer vision and pattern recognition,9764
European Journal of Operational Research,9692
international conference on pattern recognition,9352
Neurocomputing,9351
Expert Systems With Applications,9345
hawaii international conference on system sciences,9158
"systems, man and cybernetics",9132
Bioinformatics,8862
national conference on artificial intelligence,8748
Sensors,8645
IEEE Transactions on Communications,8480
NeuroImage,8451
"personal, indoor and mobile radio communications",7814
Theoretical Computer Science,7800
wireless communications and networking conference,7784
international conference on computer graphics and interactive techniques,7617
BMC Bioinformatics,7612
international symposium on neural networks,7526
winter simulation conference,7414
soft computing,7303
IEEE Transactions on Geoscience and Remote Sensing,7221
IEEE Transactions on Industrial Electronics,7202
Automatica,6768
systems man and cybernetics,6734
Information Sciences,6706
international conference on multimedia and expo,6410
congress on evolutionary computation,6384
IEEE Transactions on Wireless Communications,6359
international conference on computer communications,6327
neural information processing systems,6223
IEEE Communications Letters,6078
Pattern Recognition,6020
design automation conference,6010
international parallel and distributed processing symposium,5952
Journal of Computational Physics,5830
IEEE Transactions on Vehicular Technology,5656
IEEE Transactions on Computers,5650
arXiv: Information Theory,5604
international conference on conceptual structures,5550
international symposium on information theory,5549
Proceedings of SPIE,5506
IEEE Transactions on Image Processing,5505
international joint conference on artificial intelligence,5491
Wireless Personal Communications,5353
Signal Processing,5346
IEEE Transactions on Automatic Control,5254
"design, automation, and test in europe",5219
IEEE Transactions on Instrumentation and Measurement,5215
Discrete Applied Mathematics,5203
ieee international conference on high performance computing data and analytics,5153
Nucleic Acids Research,5137
genetic and evolutionary computation conference,5112
IEEE Journal on Selected Areas in Communications,5008
technical symposium on computer science education,4990
international conference on software engineering,4986
acm symposium on applied computing,4956
Pattern Recognition Letters,4950
IEEE Transactions on Pattern Analysis and Machine Intelligence,4862
advances in computing and communications,4819
fuzzy systems and knowledge discovery,4763
IEEE Transactions on Biomedical Engineering,4704
international world wide web conferences,4699
knowledge discovery and data mining,4572
Journal of Combinatorial Theory,4531
robotics and biomimetics,4483
advanced information networking and applications,4441
Information Processing Letters,4439
international symposium on biomedical imaging,4420
ieee international conference on fuzzy systems,4409
Computers & Mathematics With Applications,4354
international conference on data engineering,4336
Computer Communications,4283
international conference on computer vision,4254
PLOS Computational Biology,4228
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,4215
Computers & Operations Research,4163
Electronic Notes in Theoretical Computer Science,4162
Microelectronics Reliability,4161
international conference on data mining,4149
Operations Research,4121
conference on information and knowledge management,4108
Scientometrics,4090
Communications of The ACM,4076
acm multimedia,4070
ubiquitous computing,4045
Multimedia Tools and Applications,4042
meeting of the association for computational linguistics,4000
computer software and applications conference,3962
international conference on management of data,3959
arXiv: Computer Vision and Pattern Recognition,3917
IEEE Transactions on Neural Networks,3882
Fuzzy Sets and Systems,3818
international conference on human computer interaction,3782
Computers in Human Behavior,3604
IEICE Transactions on Communications,3572
international conference on computer aided design,3567
very large data bases,3545
international conference on computational linguistics,3542
IEEE Computer,3521
Computer Networks,3506
IEEE Transactions on Very Large Scale Integration Systems,3499
IEEE Transactions on Parallel and Distributed Systems,3444
international acm sigir conference on research and development in information retrieval,3438
Computational Statistics & Data Analysis,3425
IEEE Signal Processing Letters,3391
Journal of Computational and Applied Mathematics,3387
international conference on computational science and its applications,3381
international conference of the ieee engineering in medicine and biology society,3359
Remote Sensing,3336
parallel computing,3324
international conference on parallel processing,3288
conference of the international speech communication association,3286
international conference on distributed computing systems,3273
database and expert systems applications,3270
Computers & Chemical Engineering,3256
international conference on machine learning,3200
international test conference,3153
Journal of Systems and Software,3153
IEEE Transactions on Medical Imaging,3138
Mathematical Programming,3132
Journal of Computational Chemistry,3121
EURASIP Journal on Advances in Signal Processing,3118
international conference on advanced learning technologies,3110
International Journal of Bifurcation and Chaos,3107
IEEE Transactions on Consumer Electronics,3069
IEEE Transactions on Circuits and Systems I-regular Papers,3068
emerging technologies and factory automation,3062
IEEE Transactions on Circuits and Systems for Video Technology,2989
Procedia Computer Science,2980
IEEE Transactions on Knowledge and Data Engineering,2950
IEEE Geoscience and Remote Sensing Letters,2942
adaptive agents and multi-agents systems,2924
international symposium on computers and communications,2914
asia and south pacific design automation conference,2895
SIAM Journal on Scientific Computing,2875
Computer Physics Communications,2785
International Journal of Systems Science,2778
IEEE Transactions on Software Engineering,2771
Annals of Operations Research,2771
"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",2756
Computer Graphics Forum,2713
international conference on document analysis and recognition,2693
international conference on artificial neural networks,2668
local computer networks,2665
Computers & Industrial Engineering,2651
Knowledge Based Systems,2644
ieee international conference on cloud computing technology and science,2635
computer and information technology,2613
"international conference on control, automation, robotics and vision",2601
IEEE Transactions on Visualization and Computer Graphics,2600
Applied Mathematics Letters,2584
Journal of Parallel and Distributed Computing,2574
Neural Networks,2573
computational intelligence and security,2570
international conference on tools with artificial intelligence,2551
IEEE Transactions on Control Systems and Technology,2548
Eurasip Journal on Wireless Communications and Networking,2544
arXiv: Learning,2544
Journal of Chemical Information and Modeling,2544
Journal of the Association for Information Science and Technology,2536
Microelectronics Journal,2505
decision support systems,2502
European Journal of Combinatorics,2494
Reliability Engineering & System Safety,2479
international conference on acoustics speech and signal processing,2468
acm special interest group on data communication,2464
Mathematical and Computer Modelling,2457
Computers in Education,2454
Iet Communications,2436
IEEE\/ACM Transactions on Networking,2428
Software - Practice and Experience,2423
arXiv: Networking and Internet Architecture,2412
Neural Computation,2412
international conference on intelligent computing,2408
signal processing systems,2402
Journal of Graph Theory,2390
Environmental Modelling and Software,2385
medical image computing and computer assisted intervention,2383
International Journal of Computer Mathematics,2381
Neural Computing and Applications,2371
IEEE Transactions on Circuits and Systems Ii-express Briefs,2364
formal methods,2362
IEICE Transactions on Information and Systems,2360
Systems and Computers in Japan,2354
international conference on neural information processing,2345
conference on computer supported cooperative work,2341
International Journal of Distributed Sensor Networks,2339
european conference on computer vision,2339
Journal of Cognitive Neuroscience,2332
symposium on discrete algorithms,2316
european conference on parallel processing,2309
Synthese,2295
international conference on computer design,2287
Future Generation Computer Systems,2277
international conference on information systems,2269
international symposium on microarchitecture,2253
international conference on wireless communications and mobile computing,2235
Electronic Journal of Combinatorics,2225
web intelligence,2220
international conference on vlsi design,2201
The Journal of Supercomputing,2197
Computers & Geosciences,2194
international solid-state circuits conference,2189
arXiv: Computation and Language,2188
international conference on parallel and distributed systems,2187
biomedical engineering and informatics,2183
canadian conference on electrical and computer engineering,2179
SIAM Journal on Computing,2175
Fundamenta Informaticae,2172
foundations of computer science,2160
bioinformatics and biomedicine,2157
Management Science,2137
international conference on computer communications and networks,2137
Robotics and Autonomous Systems,2132
Computer-aided Design,2129
Image and Vision Computing,2128
ieee symposium on security and privacy,2126
Computer Methods and Programs in Biomedicine,2122
arXiv: Artificial Intelligence,2117
Journal of Global Optimization,2108
north american chapter of the association for computational linguistics,2100
Science in China Series F: Information Sciences,2087
computer and communications security,2077
Computers in Biology and Medicine,2066
"IEEE Transactions on Audio, Speech, and Language Processing",2061
ambient intelligence,2053
Computing,2047
computer supported cooperative work in design,2028
international conference on networking,2026
measurement and modeling of computer systems,2007
intelligent systems design and applications,1995
industrial and engineering applications of artificial intelligence and expert systems,1994
Artificial Intelligence,1987
Mathematics and Computers in Simulation,1982
IEEE Software,1972
Journal of Intelligent and Robotic Systems,1954
asia pacific conference on circuits and systems,1949
Operations Research Letters,1937
IEEE Transactions on Multimedia,1937
symposium on the theory of computing,1901
Information & Computation,1889
SIAM Journal on Numerical Analysis,1884
arXiv: Data Structures and Algorithms,1884
Numerical Algorithms,1875
automated software engineering,1866
data compression conference,1864
International Journal of Human-computer Studies \/ International Journal of Man-machine Studies,1857
arXiv: Cryptography and Security,1856
the internet of things,1847
Information & Software Technology,1839
IEEE Transactions on Mobile Computing,1838
Computer Vision and Image Understanding,1833
uncertainty in artificial intelligence,1831
IEICE Transactions on Electronics,1823
Electronic Notes in Discrete Mathematics,1822
robot and human interactive communication,1816
Engineering Applications of Artificial Intelligence,1811
international conference on telecommunications,1807
Biological Cybernetics,1806
international conference on machine learning and cybernetics,1799
IEEE Computer Graphics and Applications,1799
Siam Journal on Applied Mathematics,1798
International Journal of Control,1794
international symposium on quality electronic design,1789
IEEE Transactions on Intelligent Transportation Systems,1788
computational science and engineering,1787
Journal of Symbolic Computation,1781
ad hoc networks,1780
grid computing,1779
Graphs and Combinatorics,1773
custom integrated circuits conference,1770
Proceedings of the IEEE,1756
Mathematics of Computation,1755
"information sciences, signal processing and their applications",1749
IEEE Access,1748
international conference on cloud computing,1741
ieee virtual reality conference,1739
granular computing,1738
"arXiv: Distributed, Parallel, and Cluster Computing",1737
multimedia signal processing,1735
Wireless Networks,1731
Speech Communication,1730
IEEE Transactions on Fuzzy Systems,1724
Mathematics of Operations Research,1721
"Designs, Codes and Cryptography",1719
The Visual Computer,1715
great lakes symposium on vlsi,1712
International Journal of Medical Informatics,1711
empirical methods in natural language processing,1706
Computers & Graphics,1702
Journal of Computer Science and Technology,1698
Networks,1676
Journal of Computer-aided Molecular Design,1673
Information Processing and Management,1672
international conference on information networking,1667
Systems & Control Letters,1663
International Journal of Communication Systems,1659
IEEE Communications Magazine,1655
Telecommunication Systems,1654
Journal of Visual Communication and Image Representation,1652
intelligent information hiding and multimedia signal processing,1642
european conference on artificial intelligence,1641
conference on information sciences and systems,1641
Siam Journal on Control and Optimization,1637
international conference on machine learning and applications,1636
Journal of Medical Systems,1633
BMC Systems Biology,1631
Advanced Robotics,1630
international semantic web conference,1619
Journal of Network and Computer Applications,1616
Journal of Computer and System Sciences,1614
SIAM Journal on Discrete Mathematics,1611
high performance computing and communications,1608
Digital Signal Processing,1603
Concurrency and Computation: Practice and Experience,1601
Medical & Biological Engineering & Computing,1597
european conference on principles of data mining and knowledge discovery,1590
International Journal of Computer Vision,1587
Discrete and Computational Geometry,1579
Computers & Electrical Engineering,1579
Communications in Statistics - Simulation and Computation,1578
international symposium on computer architecture,1568
Journal of Scientific Computing,1559
computer science and software engineering,1558
computer assisted radiology and surgery,1547
Algorithmica,1541
Quantum Information Processing,1539
Mathematical Methods of Operations Research,1534
adaptive agents and multi agents systems,1528
International Journal of Geographical Information Science,1525
Journal of the ACM,1521
Entropy,1517
Cognitive Science,1517
Journal of Intelligent Manufacturing,1514
international conference on web services,1494
Journal of Intelligent and Fuzzy Systems,1491
digital systems design,1477
Siam Journal on Optimization,1476
Journal of Machine Learning Research,1466
Information & Management,1461
ieee-ras international conference on humanoid robots,1458
International Journal of Pattern Recognition and Artificial Intelligence,1452
IEEE Transactions on Information Forensics and Security,1452
Journal of Biomedical Informatics,1448
The International Journal of Robotics Research,1444
Numerische Mathematik,1443
vlsi test symposium,1436
Signal Processing-image Communication,1433
mobile adhoc and sensor systems,1433
bioinformatics and bioengineering,1430
Microprocessors and Microsystems,1428
"Journal of Circuits, Systems, and Computers",1424
Journal of The American Society for Information Science,1420
Siam Journal on Mathematical Analysis,1418
ACM Sigsoft Software Engineering Notes,1418
IEEE Transactions on Smart Grid,1402
computational intelligence,1402
International Journal of Intelligent Systems,1394
International Journal of Approximate Reasoning,1391
IEICE Electronics Express,1390
british machine vision conference,1388
network operations and management symposium,1387
workshop on applications of computer vision,1383
international conference on software maintenance,1377
Studia Informatica Universalis,1375
IEEE Transactions on Robotics,1375
IEEE Transactions on Aerospace and Electronic Systems,1371
IEEE Internet Computing,1371
IEEE Intelligent Systems,1370
Annals of Pure and Applied Logic,1369
machine vision applications,1365
Computational Biology and Chemistry,1362
dependable systems and networks,1348
Journal of Multivariate Analysis,1347
international symposium on multimedia,1343
IEEE Journal of Solid-state Circuits,1340
Journal of Applied Mathematics,1339
intelligent user interfaces,1338
Human Factors,1324
international symposium on visual computing,1323
Robotica,1321
international conference on logic programming,1320
arXiv: Software Engineering,1318
the florida ai research society,1317
Ibm Journal of Research and Development,1315
Computational Optimization and Applications,1314
american control conference,1313
Circuits Systems and Signal Processing,1310
international conference on information technology: new generations,1302
Security and Communication Networks,1301
acm/ieee joint conference on digital libraries,1296
advances in social networks analysis and mining,1293
Performance Evaluation,1288
field-programmable logic and applications,1286
Journal of Economic Theory,1286
Electronic Proceedings in Theoretical Computer Science,1284
data and knowledge engineering,1283
information reuse and integration,1280
international symposium on low power electronics and design,1274
SIAM Journal on Matrix Analysis and Applications,1270
intelligence and security informatics,1268
Journal of Optimization Theory and Applications,1266
computer-based medical systems,1265
Advances in Engineering Software,1262
Journal of the American Medical Informatics Association,1258
arXiv: Machine Learning,1256
Journal of Digital Imaging,1256
communication systems and networks,1252
Science of Computer Programming,1252
Computers & Security,1250
Journal of the Operational Research Society,1247
international conference on pervasive computing,1244
international conference on control and automation,1242
international symposium on software reliability engineering,1240
visual communications and image processing,1238
asian test symposium,1237
Medical Image Analysis,1234
IEEE Transactions on Reliability,1232
Applied Intelligence,1231
Computing in Science and Engineering,1228
Journal of Universal Computer Science,1228
symposium on principles of programming languages,1220
international conference on image analysis and processing,1219
Queueing Systems,1219
annual computer security applications conference,1218
BMC Medical Informatics and Decision Making,1218
asian conference on computer vision,1218
Simulation Modelling Practice and Theory,1215
Information Systems,1212
asia-pacific software engineering conference,1210
user interface software and technology,1207
IEEE Transactions on Industrial Informatics,1206
"Cyberpsychology, Behavior, and Social Networking",1204
cluster computing and the grid,1204
arXiv: Social and Information Networks,1203
arXiv: Logic in Computer Science,1202
Annales Des Télécommunications,1202
Games and Economic Behavior,1202
Journal of Computational Biology,1201
"IEEE Transactions on Acoustics, Speech, and Signal Processing",1199
Computer Aided Geometric Design,1196
symposium on cloud computing,1195
"conference on object-oriented programming systems, languages, and applications",1191
arXiv: Systems and Control,1191
Journal of Combinatorial Optimization,1185
British Journal of Educational Technology,1183
international conference on cluster computing,1178
international conference on conceptual modeling,1172
Journal of Approximation Theory,1164
"wireless and mobile computing, networking and communications",1163
world of wireless mobile and multimedia networks,1163
International Journal of Computer Integrated Manufacturing,1159
Studia Logica,1155
The Computer Journal,1154
Industrial Management and Data Systems,1153
Acta Informatica,1151
international conference on multimodal interfaces,1148
Journal of Systems Architecture,1147
extending database technology,1146
intelligent data analysis,1143
IEEE/ACM Transactions on Computational Biology and Bioinformatics,1142
Knowledge and Information Systems,1140
IEEE Design & Test of Computers,1140
foundations of software engineering,1133
"parallel, distributed and network-based processing",1132
pervasive computing and communications,1130
Theory of Computing Systems \/ Mathematical Systems Theory,1130
International Journal of Applied Earth Observation and Geoinformation,1128
Behaviour & Information Technology,1128
advances in multimedia,1128
Journal of Knowledge Management,1127
electronic commerce,1123
logic in computer science,1120
Computers in Industry,1116
Journal of Information Science,1116
embedded and ubiquitous computing,1115
international conference on supercomputing,1110
workshops on enabling technologies: infrastracture for collaborative enterprises,1106
international conference on information and communication security,1104
database systems for advanced applications,1100
integrated network management,1100
