cluster_id,topic,title,abstract,venue,year
2,Machine Learning & Modeling,effect of using regression in sentiment analysis,"in this study, the effect of using regression on sentiment classification of twitter data was analyzed. in other words, whether the strength of sentiment better discriminates the classes or not. since our dataset includes class confidence scores rather than discrete class labels, regression analysis was employed on each class separately. then, each tweet was assigned the class whose estimated confidence score is maximum among others after regression. the feature set used includes unigrams, pos tags, emoticons, sentiments of words and pos tags of sentiments. the results of experiments indicate that using classification on discrete class labels perform much better than using regression on continuous confidence scores.",Studia Informatica Universalis,2014
8,"Algorithms, Graph Theory & Optimization",multi-objective particle swarm-differential evolution algorithm,"a multi-objective particle swarm-differential evolution algorithm (mopsde) is proposed that combined a particle swarm optimization (pso) with a differential evolution (de). during consecutive generations, a scale factor is produced by using a proposed mechanism based on the simulated annealing method and is applied to dynamically adjust the percentage of use of pso and de. in addition, the mutation operation of de is improved, to satisfy that the proposed algorithm has different mutation operation in different searching stage. as a result, the capability of the local searching is enhanced and the prematurity of the population is restrained. the effectiveness of the proposed method has been validated through comprehensive tests using benchmark test functions. the numerical results obtained by this algorithm are compared with those obtained by the improved non-dominated sorting genetic algorithm (nsga-ii) and the other algorithms mentioned in the literature. the results show the effectiveness of the proposed mopsde algorithm.",Neural Computing and Applications,2017
2,Machine Learning & Modeling,improving reordering performance using higher order and structural features,"recent work has shown that word aligned data can be used to learn a model for reordering source sentences to match the target order. this model learns the cost of putting a word immediately before another word and finds the best reordering by solving an instance of the traveling salesman problem (tsp). however, for efficiently solving the tsp, the model is restricted to pairwise features which examine only a pair of words and their neighborhood. in this work, we go beyond these pairwise features and learn a model to rerank the n-best reorderings produced by the tsp model using higher order and structural features which help in capturing longer range dependencies. in addition to using a more informative set of source side features, we also capture target side features indirectly by using the translation score assigned to a reordering. our experiments, involving urdu-english, show that the proposed approach outperforms a state-of-theart pbsmt system which uses the tsp model for reordering by 1.3 bleu points, and a publicly available state-of-the-art mt system, hiero, by 3 bleu points.",north american chapter of the association for computational linguistics,2013
7,Software Engineering & Web Systems,software testing in the computer science curriculum -- a holistic approach,"although testing accounts for 50% of the cost of software, it receives little treatment in most curricula. this paper presents some approaches to giving all students multiple, incremental exposures to software testing throughout the curriculum. a unifying framework is presented which identifies a minimal set of test experiences, skills and concepts students should accumulate. the holistic approach combines common test experiences in core courses, an elective course in software testing, and volunteer participation in a test laboratory.",,2000
8,"Algorithms, Graph Theory & Optimization",boosting probabilistic choice operators,"probabilistic choice operators (pcos) are convenient tools to model uncertainty in cp. they are useful to implement randomized algorithms and stochastic processes in the concurrent constraint framework. their implementation is based on the random selection of a value inside a finite domain according to a given probability distribution. unfortunately, the probabilistic choice of a pco is usually delayed until the probability distribution is completely known. this is inefficient and penalizes their broader adoption in real-world applications. in this paper, we associate to pco a filtering algorithm that prunes the variation domain of its random variable during constraint propagation. our algorithm runs in o(n) where n denotes the size of the domain of the probabilistic choice. experimental results show the practical interest of this approach.",principles and practice of constraint programming,2007
1,Data Mining & Databases,evaluation of the validated soil moisture product from the smap radiometer,"nasa's soil moisture active passive (smap) mission launched on january 31, 2015 into a sun-synchronous 6 am/6 pm orbit with an objective to produce global mapping of high-resolution soil moisture and freeze-thaw state every 2–3 days using an l-band (active) radar and an l-band (passive) radiometer. the smap radiometer began acquiring routine science data on march 31, 2015 and continues to operate nominally. smap's radiometer-derived soil moisture product (l2_sm_p) provides soil moisture estimates posted on a 36 km fixed earth grid using brightness temperature observations from descending (6 am) passes and ancillary data. a beta quality version of l2_sm_p was released to the public in september, 2015, with the fully validated l2_sm_p soil moisture data expected to be released in may, 2016. additional improvements (including optimization of retrieval algorithm parameters and upscaling approaches) and methodology expansions (including increasing the number of core sites, model-based intercomparisons, and results from several intensive field campaigns) are anticipated in moving from accuracy assessment of the beta quality data to an evaluation of the fully validated l2_sm_p data product.",international geoscience and remote sensing symposium,2016
6,Signal Processing & Communications,further combinatorial constructions for optimal frequency-hopping sequences,"frequency-hopping multiple-access (fhma) spread-spectrum communication systems employing multiple frequency shift keying as data modulation technique were investigated by fuji-hara, miao and mishima [r. fuji-hara, y. miao, m. mishima, optimal frequency hopping sequences: a combinatorial approach, ieee trans. inform. theory 50 (2004) 2408-2420] from a combinatorial approach, where a correspondence between frequency-hopping (fh) sequences and partition-type cyclic difference packings was established, and several combinatorial constructions were provided for fhma systems with a single optimal fh sequence. in this paper, by means of this correspondence, we describe more combinatorial constructions for such optimal fh sequences. as a consequence, more new infinite series of optimal fh sequences are obtained.",Journal of Combinatorial Theory,2006
0,Networking & Wireless Communication,optimal power flow in tree networks,"the optimal power flow (opf) problem seeks to control power generation/demand to optimize certain objectives such as minimizing the generation cost or power loss. it is becoming increasingly important for tree distribution networks due to the emerging distributed generation and controllable loads. the opf problem is nonconvex. we prove that after modifying the opf problem, its global optimum can be recovered via a second-order cone programming (socp) relaxation for tree networks, under a condition that can be checked in advance. empirical studies justify that the modification is “small”, and that the condition holds, for the ieee 13-bus network and two real-world networks.",conference on decision and control,2013
3,Robotics & Control Systems,the convergence of an interior point method for an elliptic control problem with mixed control-state constraints,"the paper addresses a primal interior point method for state-constrained pde optimal control problems in function space. by a lavrentiev regularization, the state constraint is transformed to a mixed control-state constraint with bounded lagrange multiplier. existence and convergence of the central path are established, and linear convergence of a short-step pathfollowing method is shown. the behaviour of the method is demonstrated by numerical examples.",Computational Optimization and Applications,2008
1,Data Mining & Databases,beyond tandem repeats: complex pattern structures and distant regions of similarity,"motivation: tandem repeats (trs) are associated with human disease, play a role in evolution and are important in regulatory processes. despite their importance, locating and characterizing these patterns within anonymous dna sequences remains a challenge. in part, the difficulty is due to imperfect conservation of patterns and complex pattern structures. we study recognition algorithms for two complex pattern structures: variable length tandem repeats (vltrs) and multi-period tandem repeats (mptrs). results: we extend previous algorithmic research to a class of regular tandem repeats (regtrs). we formally define regtrs, as well as two important subclasses: vltrs and mptrs. we present algorithms for identification of trs in these classes. furthermore, our algorithms identify degenerate vltrs and mptrs: repeats containing substitutions, insertions and deletions. to illustrate our work, we present results of our analysis for two difficult regions in cattle and human data which reflect practical occurrences of these subclasses in genbank sequence data. in addition, we show the applicability of our algorithmic techniques for identifying alu sequences, gene clusters and other distant regions of similarity. we illustrate this with an example from yeast chromosome i. availability: algorithms can be accessed at http://www.cs.",intelligent systems in molecular biology,2002
