venue,paper_count,avg_citations
,311490,22.74423255963273
3c On-line,1,0.0
3d Research,1,0.0
A Quarterly Journal of Operations Research,416,21.923076923076923
AAPG Bulletin,1,8.0
ACIMED,1,0.0
ACM Communications in Computer Algebra,254,12.031496062992126
ACM Computing Surveys,765,273.06535947712416
ACM Crossroads Student Magazine,193,18.238341968911918
ACM Journal of Computer Documentation,45,25.555555555555557
ACM Journal of Experimental Algorithms,199,48.17085427135678
ACM Journal on Computing and Cultural Heritage,136,26.904411764705884
ACM Journal on Emerging Technologies in Computing Systems,292,30.623287671232877
ACM Letters on Programming Languages and Systems,33,80.15151515151516
ACM Lisp Bulletin,1,3.0
ACM Queue,309,44.919093851132686
ACM Sigaccess Accessibility and Computing,5,12.0
ACM Sigada Ada Letters,209,14.339712918660288
ACM Sigapl Apl Quote Quad,336,17.458333333333332
ACM Sigapp Applied Computing Review,6,12.5
ACM Sigarch Computer Architecture News,485,48.77525773195876
ACM Sigbed Review,301,22.74418604651163
ACM Sigbio Newsletter,4,26.25
ACM Sigcaph Computers and The Physically Handicapped,9,44.666666666666664
ACM Sigcas Computers and Society,278,13.66546762589928
ACM Sigchi Bulletin,15,61.0
ACM Sigcpr Computer Personnel,13,25.53846153846154
ACM Sigcue Outlook,2,4.5
ACM Sigda Newsletter,1,0.0
ACM Sigevolution,3,34.0
ACM Siggroup Bulletin,6,56.166666666666664
ACM Sigmicro Newsletter,5,30.8
ACM Sigmis Database,462,67.04761904761905
ACM Sigmultimedia Records,7,15.857142857142858
ACM Signum Newsletter,5,91.2
ACM Sigoa Newsletter,3,69.33333333333333
ACM Sigois Bulletin,26,63.57692307692308
ACM Sigplan Fortran Forum,1,50.0
ACM Sigsac Review,2,29.0
ACM Sigsam Bulletin,430,25.66046511627907
ACM Sigsim Simulation Digest,47,31.04255319148936
ACM Sigsmall\/pc Notes,8,25.125
ACM Sigsoc Bulletin,1,0.0
ACM Sigsoft Software Engineering Notes,1418,34.57122708039492
ACM Siguccs Newsletter,4,12.75
ACM Sigweb Newsletter,166,7.301204819277109
ACM Standardview,5,38.2
ACM Transactions in Embedded Computing Systems,812,39.23645320197044
ACM Transactions on Accessible Computing,112,27.580357142857142
ACM Transactions on Algorithms,362,55.591160220994475
ACM Transactions on Applied Perception,1,0.0
ACM Transactions on Architecture and Code Optimization,425,29.95529411764706
ACM Transactions on Asian Language Information Processing,206,34.970873786407765
ACM Transactions on Autonomous and Adaptive Systems,212,48.033018867924525
ACM Transactions on Computation Theory,60,30.383333333333333
ACM Transactions on Computational Logic,380,45.15263157894737
ACM Transactions on Computer Systems,333,225.76276276276278
ACM Transactions on Computer-Human Interaction,440,109.45454545454545
ACM Transactions on Computing Education \/ ACM Journal of Educational Resources in Computing,110,41.22727272727273
ACM Transactions on Cyber-Physical Systems,15,3.8666666666666667
ACM Transactions on Database Systems,743,125.52489905787348
ACM Transactions on Design Automation of Electronic Systems,827,35.446191051995164
ACM Transactions on Graphics,674,104.15875370919882
ACM Transactions on Information Systems,536,157.0037313432836
ACM Transactions on Information and System Security,265,174.77358490566039
ACM Transactions on Intelligent Systems and Technology,405,118.9283950617284
ACM Transactions on Internet Technology,261,74.02298850574712
ACM Transactions on Knowledge Discovery From Data,217,52.036866359447004
ACM Transactions on Mathematical Software,925,90.98810810810811
